Product ID,Name,Category,Price
P0001,Apple Watch Series 7,Smartwatch,$5.66 
P0002,Huawei P50,Smartphone,$2.77 
P0003,Xiaomi Poco X3,Laptop,$8.96 
P0004,Lenovo Yoga C940,Tablet,$5.68 
P0005,OnePlus Nord 2,Smartwatch,$0.36 
P0006,LG Wing,Smartphone,$0.97 
P0007,ASUS VivoBook S15,Laptop,$6.57 
P0008,Garmin Fenix 7,Tablet,$2.73 
P0009,Razer Blade 15,Smartwatch,$9.02 
P0010,Xiaomi Redmi Note 10,Smartphone,$1.58 
P0011,ASUS ROG Phone 5,Laptop,$7.85 
P0012,Dell XPS 13,Tablet,$7.52 
P0013,Samsung Galaxy Z Fold 3,Smartwatch,$3.77 
P0014,HP Pavilion Gaming,Smartphone,$6.65 
P0015,Fossil Gen 6,Laptop,$1.68 
P0016,Lenovo K13,Tablet,$8.54 
P0017,Nokia X20,Smartwatch,$7.50 
P0018,LG Gram,Smartphone,$2.51 
P0019,Google Pixel 4a 5G,Laptop,$1.23 
P0020,Realme GT,Tablet,$4.73 
P0021,Amazfit GTR 3,Smartwatch,$4.51 
P0022,Huawei MateBook D,Smartphone,$7.60 
P0023,HTC Desire 21,Laptop,$6.43 
P0024,MSI GS66 Stealth,Tablet,$4.96 
P0025,Vivo X70,Smartwatch,$4.27 
P0026,Oppo A74,Smartphone,$5.94 
P0027,Google Pixelbook,Laptop,$0.68 
P0028,Honor Magic 3,Tablet,$6.78 
P0029,Samsung Galaxy A52,Smartwatch,$6.37 
P0030,Acer Chromebook Spin,Smartphone,$3.92 
P0031,Lenovo Legion Phone Duel,Laptop,$3.74 
P0032,Microsoft Surface Book,Tablet,$0.64 
P0033,iPhone 13,Smartwatch,$3.04 
P0034,Blackberry Key3,Smartphone,$7.79 
P0035,ASUS ZenBook Pro Duo,Laptop,$2.86 
P0036,Sony Xperia 10 III,Tablet,$6.33 
P0037,Samsung Galaxy Watch 4,Smartwatch,$4.62 
P0038,Acer Swift 5,Smartphone,$9.38 
P0039,Xiaomi Mi 11,Laptop,$2.71 
P0040,Huawei Watch GT 3,Tablet,$1.77 
P0041,LG Q92,Smartwatch,$2.25 
P0042,Dell Inspiron 15,Smartphone,$7.95 
P0043,Blackberry Evolve,Laptop,$9.28 
P0044,Oppo Reno6,Tablet,$9.81 
P0045,Honor 50,Smartwatch,$3.77 
P0046,iPhone SE (2022),Smartphone,$0.61 
P0047,Realme C25,Laptop,$8.68 
P0048,MSI Creator Z16,Tablet,$8.61 
P0049,Samsung Galaxy M42,Smartwatch,$8.67 
P0050,Lenovo ThinkPad X1 Carbon,Smartphone,$7.12 
P0051,ASUS Zenfone 8 Flip,Laptop,$8.55 
P0052,Fitbit Sense,Tablet,$8.19 
P0053,OnePlus 9R,Smartwatch,$0.21 
P0054,Microsoft Surface Laptop,Smartphone,$2.75 
P0055,LG UltraGear,Laptop,$3.51 
P0056,Nokia 5.4,Tablet,$7.82 
P0057,Motorola Edge+,Smartwatch,$6.22 
P0058,Xiaomi Mi Notebook,Smartphone,$8.16 
P0059,Huawei Nova 8,Laptop,$0.37 
P0060,Samsung Galaxy Book,Tablet,$5.66 
P0061,TicWatch Pro 4,Smartwatch,$2.64 
P0062,ASUS ROG Zephyrus G14,Smartphone,$2.17 
P0063,Apple MacBook Air,Laptop,$1.86 
P0064,Google Pixel 6 Pro,Tablet,$5.17 
P0065,Lenovo Tab P11,Smartwatch,$0.47 
P0066,Vivo V21,Smartphone,$7.23 
P0067,Oppo Find X5,Laptop,$4.36 
P0068,Samsung Galaxy A32,Tablet,$5.37 
P0069,Dell Alienware 17,Smartwatch,$5.22 
P0070,Honor 30S,Smartphone,$9.01 
P0071,ASUS VivoBook Flip,Laptop,$8.30 
P0072,Xiaomi Mi Watch,Tablet,$0.60 
P0073,Sony Xperia 5 III,Smartwatch,$5.89 
P0074,Lenovo Legion Y740,Smartphone,$3.90 
P0075,Google Pixel Slate,Laptop,$8.43 
P0076,ASUS Zenfone 8,Tablet,$6.13 
P0077,HP Envy x360,Smartwatch,$2.03 
